Container_ID,Tenant_ID,Requested_CPU,Requested_Memory_MB,Requested_Storage_GB,Requested_Bandwidth_Mbps,Execution_Start_Time_ms,Execution_Finish_Time_ms,Makespan_ms,Server_ID,Available_CPU,Available_Memory_GB,Available_Storage_TB,Available_Bandwidth_Mbps,Power_Consumption_Watts,Inter_Container_Communication_Latency_ms,Routing_Path_Efficiency,Bandwidth_Allocation_Mbps,Active_Switches,Energy_Efficiency_Score,Execution_Cost_$,Resource_Utilization_Efficiency,SLA_Violation_Rate,Power_Consumption_Switches_Watts,Total_Data_Transferred_MB,Optimal
1,7,10,10808,130,96,3800,35042,3606,11,25,372,1,9696,174.66145199133095,5.994021652852087,0.8381592014010867,992,9,0.010090405021881521,79.0624835068891,59.27901183917777,19.49065107324749,179.8390549172164,6138,0
2,15,3,831,427,655,6310,26086,1972,42,56,216,3,8735,438.05071239787924,8.73482483708906,0.5252022002307971,475,1,0.6891572317245083,91.63545665061879,60.96640920154596,4.441303490827839,174.49708324765433,8836,0
3,11,14,7285,446,717,3610,28387,2384,38,62,38,2,3204,177.55751716883563,0.571073606206513,0.20832694686003972,297,8,0.9805403040313542,38.8978510793876,62.89321268224224,9.453294587296895,93.29777314826123,8683,0
4,8,2,6355,386,795,2104,38042,4937,4,33,471,9,4455,359.040074126859,3.9161573035273807,0.5246884120934774,874,1,0.9656257228375925,59.681361655806164,78.27016959752521,1.2227526002444722,82.41722990566593,5389,0
5,7,12,9755,29,210,8361,34888,1983,33,53,239,3,3405,353.3988346013286,1.6665833439711009,0.5550826014376511,685,9,0.16093701120241843,50.11959311675146,75.19828899126968,10.440968323425171,187.2342828443488,6320,0
6,19,1,3448,84,378,5199,37514,2511,7,46,383,2,1638,149.672096986838,6.984007082245509,0.7424575642135566,421,6,0.18124780606615498,98.16290449867904,60.158001918210445,7.59912250294817,145.88129956230316,396,0
7,11,7,3434,409,806,4854,29323,1351,41,63,285,4,1431,65.65963994075756,1.1466731482682353,0.2198829897073491,409,1,0.5655389146196601,83.12533229492385,53.37774217278435,0.8932005775444751,186.36661582323438,6573,0
8,11,7,6308,252,86,8263,29019,2724,8,33,362,2,8268,234.16230820342878,6.681596809944421,0.3683103820867317,537,8,0.6373048264283244,91.18259705690762,58.5716102237359,6.7024853339244945,161.42520799020448,1186,0
9,4,12,2990,232,68,2914,20890,2951,37,11,168,1,7039,180.13691838464138,2.933190620899283,0.3640274692145663,27,5,0.7394179136658656,25.508574749002662,99.21906563093017,7.828720404457112,125.76651346536872,6459,0
10,8,2,6372,79,440,8365,21283,2279,10,37,348,6,8361,414.0399873261689,2.0692764559985246,0.9594395957411649,145,7,0.1810503604721475,77.27538967394317,73.4273474895736,19.7984298254988,32.01202763071525,5294,0
11,3,7,15819,321,647,4072,29279,4293,43,60,100,8,5658,410.16388480490536,9.369890322467356,0.44394496032671893,473,7,0.9590070867644345,26.62077517726513,93.36727523510562,4.157717438387509,65.3813277900287,5905,0
12,2,13,10660,220,509,1406,33908,2907,15,50,124,2,6044,255.66077848668147,0.28339330978496313,0.7550939672981465,768,7,0.6387392562892379,20.953379089496153,92.43762333344216,10.895592307401994,194.0800573486944,6822,0
13,12,8,10800,110,922,1166,48952,1752,38,12,46,9,7226,322.9305013954485,4.433994991706732,0.750811381374439,257,6,0.8470469188705548,94.43218934958952,75.57597787314369,19.746310983972574,70.69019875569884,9408,0
14,6,1,3824,195,118,1508,46170,3828,15,54,244,3,580,321.9167821941163,0.31410722537175845,0.2655441848032414,852,8,0.5400657152841718,2.028511230114878,85.33438542302719,15.840384158802703,27.71842525922045,9368,0
15,2,9,10103,141,745,2661,48663,2024,5,23,255,8,5363,422.2211667924305,4.887571176232857,0.5718696893717321,719,9,0.4142768475898826,96.54233149597663,59.637600520635615,19.86735001764178,144.43513762467074,595,0
16,1,7,10027,120,287,4664,20343,1545,29,43,393,8,4194,241.25108635543887,5.0603690401647405,0.8943028933186481,10,2,0.977182906594996,15.01126350918174,84.41983524634541,19.365966293203385,149.4608083633,3095,0
17,12,3,14391,390,77,4489,21637,2469,19,28,378,3,6267,173.9510059057291,3.2844584668079957,0.47519771945694944,711,7,0.5821213708198361,81.96186437114748,63.619228963164474,9.790790841883085,64.23696685455864,193,0
18,12,8,2459,141,78,1680,45724,1078,10,22,325,3,2893,169.26571316324635,1.4084015974977344,0.9451175073425461,390,2,0.8668735827991789,27.664663051503503,91.60310483770755,13.927516997411315,66.5576760757977,4424,0
19,17,7,1646,29,174,3524,40134,2259,12,8,404,6,2992,291.28652567699186,3.826236623571306,0.2144582293241616,518,6,0.9532923963662899,35.13516251032967,54.186206655445496,2.208862538823022,99.08966724666894,6493,0
20,10,11,1998,403,498,3120,14907,3381,4,14,156,1,1298,252.11669122949564,6.7554031053324035,0.07415910577403073,469,2,0.6753546270086592,21.7540953610663,88.65693364426387,8.822976500936036,14.139900454828553,5610,0
21,16,15,2181,33,314,6260,44575,1888,31,18,171,4,8111,248.05434694322128,7.8457185055801455,0.8914538731447493,514,6,0.548938678518675,58.59285284385986,54.99684532843098,16.18037084533395,159.97137196862107,820,0
22,15,13,875,236,918,5357,15827,4420,18,11,314,1,2472,91.01180259036825,5.354430963642609,0.8476811979622166,815,2,0.0035108509106506203,34.87474519603662,94.05946184471546,10.106706419542867,70.24686958208386,5175,0
23,15,8,1530,163,683,2363,41607,4169,16,22,360,3,1992,373.371683310588,5.93936050495358,0.9925898759338447,485,1,0.04001964073900599,65.77356464551686,65.21022590675018,14.053980656344638,172.21498938037573,6425,0
24,19,6,1212,302,374,3292,24699,2105,40,26,386,9,5890,146.18150959185982,2.086102074134062,0.6793934881124261,566,7,0.20085121605111633,1.663167062412391,82.71966824152874,14.91502659968554,162.49978010400642,5199,0
25,12,9,2195,239,863,2538,48292,3549,36,30,114,5,1983,138.62913359392462,2.94457029895373,0.9366879266671495,963,3,0.18600843185599525,6.5310508631524575,74.375113931014,5.069382824857877,135.6663862925688,4126,0
26,3,15,4209,478,830,4408,36883,2990,25,43,62,5,5567,235.74124412482706,1.7027665395183484,0.8269490250841108,858,4,0.25475879519984534,10.05614915785174,68.31515726311694,17.51398745885131,71.72622474886485,5157,0
27,5,5,10829,319,388,8742,16313,2500,23,35,502,4,897,152.50025372801065,2.5680239650456524,0.8444263331200869,906,6,0.3049346376976608,41.95746916249209,82.27209165917483,9.19644861818358,108.1001467156223,6910,0
28,19,3,16257,497,352,9752,24598,4998,12,29,342,3,8309,312.73622028860694,2.3263791242327647,0.5691415704542683,41,5,0.36006549355072826,81.49813764873161,97.3761490275619,4.203702072430875,94.51755894361222,1206,0
29,7,3,1224,368,956,2903,39807,4775,34,30,437,5,8335,217.15850270051217,5.242542985273252,0.38236459791671085,913,4,0.42053769006887654,88.82897324680043,52.063487368731096,17.308317635768876,74.3875583872481,5405,0
30,9,1,15102,414,908,1174,15887,3812,36,22,495,4,254,252.01027516675555,5.670618682328221,0.9345580725432818,127,9,0.09886633845601467,24.556592932083987,95.9426427941552,8.356376122125074,171.14589496760385,7834,0
31,7,12,9764,211,563,3230,14854,1920,37,53,82,8,5062,291.726194721813,9.454979466132894,0.43211717561589447,817,6,0.04236193195278204,57.4795354514775,80.45408275105068,15.006248767594395,101.8663441697564,6774,0
32,18,15,9491,47,363,5287,25536,1549,3,45,77,4,4180,141.5909851168122,2.0361494063050785,0.5388193672496691,193,6,0.6739444490730234,76.85966276999079,90.3657150384526,10.960661444431858,168.21738858145784,9663,0
33,4,8,537,439,425,5160,14558,3061,9,32,124,8,8150,120.08823028948841,6.45258953059881,0.44611430712518774,200,2,0.5373348248430777,28.954060048968913,69.19374767171388,7.637435044690008,29.99151008694661,8714,0
34,14,2,11292,269,118,8106,20772,1391,18,42,182,6,6047,446.18985629312215,8.190866762976476,0.5648183139601971,756,6,0.44414420222011963,40.9598728999537,73.59214874188069,16.19752830077139,36.794709834063795,2105,0
35,18,3,15616,197,572,4171,47343,4418,43,63,52,5,9717,245.17566627413947,5.64639049145222,0.4705050789923272,759,7,0.6344399411683523,52.44502284830283,93.44253759005821,11.68939863289226,195.6908579714656,5361,0
36,9,8,6518,66,771,2567,46186,3357,35,44,134,4,4420,235.4421243346426,2.6245361597606496,0.04796755857947588,737,8,0.8276794072035405,13.573997156163966,70.74239849049115,7.811242048540635,121.67600789515703,863,0
37,2,14,1314,438,506,2151,47966,3433,34,36,101,4,1992,66.02546762277866,2.6992472771980025,0.8820481860076986,83,8,0.4276929091162046,2.695631143205454,76.73297833745426,2.1919574067025405,106.85623796481931,9189,1
38,15,8,4549,29,350,8619,44769,4280,41,22,397,4,9189,274.08933616432694,0.4886052254028991,0.4443938189157698,632,9,0.6411194650519794,15.365300350896497,51.00974615421664,17.908906275334157,109.39965199738121,9244,0
39,7,14,10980,282,951,7033,30229,2380,14,40,407,9,3524,299.37637472495004,3.123897842829969,0.5889436485073487,112,3,0.9535722238351587,62.72267676322799,57.929900291902115,0.7093917068333311,50.901067066243364,5791,0
40,12,11,12276,128,392,9560,20673,1973,4,22,480,4,9550,301.4783919295999,7.471576422133463,0.13918780275798703,880,7,0.8396244958615607,7.454464327214799,82.08432539873999,17.263746967361126,146.55375040537487,7159,0
41,8,4,5434,80,542,5946,38877,4672,29,36,67,9,2115,368.16402619529794,0.5704257963503928,0.003387847982639136,595,7,0.42600081050240945,19.050666848527822,85.84884505319386,7.199230497663109,26.10831850865333,4579,0
42,15,4,7236,13,309,9234,42601,4639,41,50,106,6,6773,129.86682574595528,2.2710232967978237,0.24529009364364296,429,1,0.644716837814743,33.85160318096084,79.13004683922497,12.786775270028116,118.9315054895744,4298,0
43,3,5,13728,230,148,2907,49084,4165,45,19,304,7,6132,163.50041040377846,7.091701735464641,0.7045860321333502,482,8,0.17707092191593976,7.879219424205997,57.16550181378054,18.443994476713705,118.44607135132127,9191,0
44,14,6,9456,23,368,4490,27244,4164,15,26,509,3,4933,414.8287093536857,7.8482504719464785,0.0991945301128786,773,4,0.5605221848950899,19.25075718904728,72.27027142889175,3.0341323100779682,183.6958005853671,4123,0
45,17,5,15282,12,845,3535,38356,1339,28,10,352,8,9994,476.22677757952727,4.607652259613091,0.9088874403864678,123,5,0.9813282911384428,91.13585191945276,67.7547383181595,11.339009512776205,109.97473391992347,4305,0
46,4,14,1485,225,508,5173,27806,3644,42,29,313,3,9165,111.16973631529429,7.010935950938624,0.21502256935618458,388,6,0.5183151152025223,2.0279833094757778,74.78306720175442,15.28865724740384,36.04191223509411,3741,0
47,18,15,9483,238,394,2293,34099,4516,16,35,219,1,665,273.94229952734815,3.940726469683431,0.2045936142917758,322,3,0.9276382991901473,65.37784922501878,93.51645172770472,15.151676654381149,118.82311925715089,3643,0
48,8,7,4841,345,613,5769,48034,1756,12,15,383,5,7512,146.37931373281407,1.6831411257388627,0.18150796162149552,339,5,0.4073349205032607,38.50245219842698,88.79307193293259,10.51263829199008,27.35225242941315,5691,0
49,4,2,8723,195,968,5796,30094,2045,5,11,253,2,2118,77.0329257597421,4.041679985876774,0.013981712971364746,348,5,0.9988448271846312,67.29760906929387,54.19947506945795,12.494789198129162,48.72082870698512,7343,0
